award,imdbid,kind,talentid,year
4,0120863,N,0312059,1999
4,0120863,N,0730535,1999
4,0120863,N,0384294,1999
1,0118564,W,0000336,1999
1,0120633,N,0000380,1999
1,0120382,N,0000438,1999
1,0138097,N,0001691,1999
1,0120324,N,0000671,1999
2,0138097,W,0000569,1999
2,0140888,N,0005244,1999
2,0120776,N,0000658,1999
2,0150915,N,0001833,1999
2,0127536,N,0000949,1999
3,0138097,W,0001132,1999
3,0119942,N,0000870,1999
3,0147004,N,0000950,1999
3,0150915,N,0341737,1999
3,0120684,N,0001655,1999
0,0169547,W,0000228,2000
0,0140352,N,0000128,2000
0,0166896,N,0002070,2000
0,0158371,N,0000576,2000
0,0174856,N,0000243,2000
4,0169547,W,0169260,2000
4,0169547,W,0423134,2000
4,0124315,N,0321621,2000
1,0124315,W,0000323,2000
1,0175880,N,0000129,2000
1,0120689,N,0003817,2000
1,0134119,N,0000179,2000
1,0167404,N,0005286,2000
2,0171804,W,0005476,2000
2,0169547,N,0000906,2000
2,0161023,N,0005216,2000
2,0172396,N,0000194,2000
2,0166943,N,0000658,2000
3,0172493,W,0001401,2000
3,0167404,N,0001057,2000
3,0120601,N,0001416,2000
3,0158371,N,0608090,2000
3,0171804,N,0001721,2000
0,0139654,W,0000243,2002
0,0268978,N,0000128,2002
0,0277027,N,0000576,2002
0,0248667,N,0000226,2002
0,0247425,N,0929489,2002
4,0268978,W,0004976,2002
4,0268978,W,0000165,2002
4,0203009,N,0114213,2002
4,0203009,N,0525303,2002
4,0203009,N,0056236,2002
1,0280778,W,0000980,2002
1,0139654,N,0000160,2002
1,0203119,N,0001426,2002
1,0120737,N,0005212,2002
1,0248667,N,0000685,2002
2,0285742,W,0000932,2002
2,0280778,N,0001132,2002
2,0203009,N,0000173,2002
2,0247425,N,0000651,2002
2,0243155,N,0000250,2002
3,0268978,W,0000124,2002
3,0280707,N,0000545,2002
3,0280707,N,0001749,2002
3,0247425,N,0000673,2002
3,0280778,N,0000701,2002
0,0327056,W,0000576,2004
0,0159365,N,0000179,2004
0,0335266,N,0000195,2004
0,0325980,N,0000136,2004
0,0315983,N,0001426,2004
4,0167260,W,0651614,2004
4,0167260,W,0001392,2004
4,0167260,W,0909638,2004
4,0329575,N,0005086,2004
4,0329575,N,0550881,2004
4,0329575,N,0002657,2004
1,0327056,W,0000209,2004
1,0318374,N,0000285,2004
1,0315733,N,0001125,2004
1,0298845,N,0005023,2004
1,0325710,N,0913822,2004
2,0340855,W,0000234,2004
2,0298228,N,1095720,2004
2,0337741,N,0000473,2004
2,0298845,N,0608090,2004
2,0315733,N,0915208,2004
3,0159365,W,0000250,2004
3,0328538,N,0000456,2004
3,0315983,N,0013037,2004
3,0311648,N,0165101,2004
3,0327056,N,0001315,2004
0,0379725,W,0000450,2006
0,0358273,N,0001618,2006
0,0433383,N,0000657,2006
0,0410097,N,0005024,2006
0,0388795,N,0005132,2006
4,0965408,W,0353673,2006
4,0965408,W,0776072,2006
4,0408306,N,0005086,2006
4,0408306,N,0000229,2006
4,0408306,N,0578814,2006
1,0365737,W,0000123,2006
1,0965408,N,0000369,2006
1,0352248,N,0316079,2006
1,0388795,N,0350453,2006
1,0399146,N,0000458,2006
2,0358273,W,0000702,2006
2,0413015,N,0001132,2006
2,0407265,N,0005031,2006
2,0414387,N,0461136,2006
2,0395972,N,0000234,2006
3,0387131,W,0001838,2006
3,0388795,N,0931329,2006
3,0418773,N,0010736,2006
3,0379725,N,0001416,2006
3,0395972,N,0000531,2006
0,0469494,W,0000358,2008
0,0408236,N,0000136,2008
0,0478134,N,0000169,2008
0,0765443,N,0001557,2008
0,0465538,N,0000123,2008
4,0477348,W,0748784,2008
4,0477348,W,0001053,2008
4,0477348,W,0001054,2008
4,0469494,N,0783280,2008
4,0469494,N,0000759,2008
4,0469494,N,0526917,2008
1,0477348,W,0000849,2008
1,0443680,N,0000729,2008
1,0472062,N,0000450,2008
1,0758758,N,0001358,2008
1,0465538,N,0929489,2008
2,0450188,W,0182839,2008
2,0414055,N,0000949,2008
2,0491747,N,0001046,2008
2,0775529,N,0001473,2008
2,0467406,N,0680983,2008
3,0465538,W,0842770,2008
3,0452623,N,0752407,2008
3,0368794,N,0000949,2008
3,0765429,N,0002039,2008
3,0783233,N,1519680,2008
0,1504320,W,0000147,2011
0,1164999,N,0000849,2011
0,1403865,N,0000313,2011
0,1285016,N,0251986,2011
0,1542344,N,0290556,2011
4,1504320,W,2096617,2011
4,1504320,W,0792431,2011
4,1504320,W,1060902,2011
4,1399683,N,1367893,2011
4,1399683,N,0534893,2011
1,0964517,W,0000288,2011
1,0842926,N,0749263,2011
1,1504320,N,0001691,2011
1,1399683,N,0370035,2011
1,0840361,N,0719637,2011
2,0947798,W,0000204,2011
2,0842926,N,0000906,2011
2,0935075,N,0000173,2011
2,1399683,N,2225369,2011
2,1120985,N,0931329,2011
3,0964517,W,0502425,2011
3,0964517,N,0010736,2011
3,1504320,N,0000307,2011
3,1403865,N,2794962,2011
3,1313092,N,0915865,2011
0,0443272,W,0000358,2013
0,1707386,N,0413168,2013
0,1560747,N,0001618,2013
0,1907668,N,0000243,2013
0,1045658,N,0177896,2013
4,1024648,W,0381416,2013
4,1024648,W,0000255,2013
4,1024648,W,0000123,2013
4,1790885,N,1676793,2013
4,1790885,N,0000941,2013
4,1790885,N,2691892,2013
1,1853728,W,0910607,2013
1,1024648,N,0000273,2013
1,1045658,N,0000134,2013
1,1560747,N,0000450,2013
1,0443272,N,0000169,2013
2,1045658,W,2225369,2013
2,1790885,N,1567113,2013
2,1602620,N,0728938,2013
2,2125435,N,4832920,2013
2,1649419,N,0915208,2013
3,1707386,W,0004266,2013
3,1866249,N,0000166,2013
3,1045658,N,0915865,2013
3,1560747,N,0010736,2013
3,0443272,N,0000398,2013
0,2980516,W,1519666,2015
0,1100089,N,0136797,2015
0,2179136,N,0177896,2015
0,2084970,N,1212722,2015
0,2562232,N,0000474,2015
4,2562232,W,0327944,2015
4,2562232,W,0971956,2015
4,2562232,W,0804739,2015
4,2084970,N,3860486,2015
4,2084970,N,1755470,2015
4,2084970,N,3267061,2015
1,2582802,W,0799777,2015
1,1872194,N,0000380,2015
1,3645948,N,0000160,2015
1,2562232,N,0001570,2015
1,1100089,N,0749263,2015
2,3316960,W,0000194,2015
2,2305051,N,0000702,2015
2,2737050,N,0182839,2015
2,2980516,N,0428065,2015
2,2267998,N,0683253,2015
3,3645948,W,0000099,2015
3,2305051,N,0000368,2015
3,2084970,N,0461136,2015
3,2562232,N,1297015,2015
3,2180411,N,0000658,2015
0,0081398,W,0000134,1981
0,0079239,N,0000380,1981
0,0080678,N,0000457,1981
0,0081656,N,0000493,1981
0,0081568,N,0000564,1981
4,0081283,W,0777531,1981
4,0080549,N,0193533,1981
1,0081283,W,0000459,1981
1,0079239,N,0001574,1981
1,0081398,N,0000582,1981
1,0081150,N,0001673,1981
1,0081283,N,0002139,1981
2,0080549,W,0000651,1981
2,0081414,N,0000995,1981
2,0081375,N,0000443,1981
2,0081283,N,0001546,1981
2,0080798,N,0001687,1981
3,0081150,W,0005460,1981
3,0081375,N,0107281,1981
3,0081414,N,0499170,1981
3,0081398,N,0001550,1981
3,0080928,N,0769311,1981
0,0083987,W,0001426,1983
0,0084805,N,0000163,1983
0,0084335,N,0000493,1983
0,0084855,N,0000056,1983
0,0084370,N,0000564,1983
4,0083987,W,0000277,1983
4,0083866,N,0000229,1983
4,0083866,N,0005086,1983
1,0084434,W,0001283,1983
1,0083642,N,0001164,1983
1,0084917,N,0001475,1983
1,0084855,N,0000051,1983
1,0084865,N,0696481,1983
2,0084707,W,0000658,1983
2,0084434,N,0000700,1983
2,0084865,N,0000267,1983
2,0083967,N,0001448,1983
